"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SPS"
"14","GTD","Robert Alon","8","2:34.749","17:58.521","Yellow","Track","9.235","13.175","26.451","0.759","28.977","33.218","24.455","13.121","5.358","108.321"
"86","GTD","Oswaldo Negri Jr.","8","2:35.668","18:01.675","Yellow","Track","9.227","13.329","25.922","0.794","28.670","33.951","25.386","13.273","5.116","103.546"
"28","GTD","Michael de Quesada","8","2:31.362","18:02.904","Yellow","Track","6.122","12.202","25.834","0.737","27.940","34.431","25.120","13.763","5.213","111.555"
"50","GTD","Cooper MacNeil","8","2:31.400","18:04.273","Yellow","Track","6.245","12.104","25.719","0.749","28.121","34.561","25.258","13.459","5.184","109.768"
"33","GTD","Ben Keating","8","2:32.798","18:06.039","Yellow","Track","6.324","12.026","25.987","0.778","28.083","34.993","25.198","14.026","5.383","105.676"
"75","GTD","Kenny Habul","8","2:30.563","18:06.461","Yellow","Track","5.983","11.417","25.220","0.814","28.328","34.703","24.940","13.829","5.329","101.002"
"54","GTD","Jonathan Bennett","8","2:38.440","18:52.725","Yellow","Track","11.436","17.770","30.223","0.542","25.187","31.866","23.270","13.096","5.050","151.690"
"93","GTD","Katherine Legge","8","2:30.782","18:56.595","Yellow","Track","13.649","14.780","27.402","0.577","24.283","30.127","22.397","12.559","5.008","142.489"
"48","GTD","Madison Snow","8","2:34.395","18:59.437","Yellow","Track","14.130","14.849","32.084","0.579","23.724","30.002","21.726","12.280","5.021","141.996"
"10","P","Ricky Taylor","9","4:06.707","20:20.336","Green","Track","11.550","17.309","44.418","1.350","38.352","61.720","51.979","15.498","4.531","60.901"
"52","P","Jose Gutierrez","9","4:05.035","20:21.004","Green","Track","11.289","16.748","43.850","1.289","38.192","62.049","51.302","15.801","4.515","63.783"
"22","P","Johannes van Overbeek","9","4:03.901","20:21.530","Green","Track","11.674","16.272","43.452","1.534","38.126","61.846","50.851","15.707","4.439","53.596"
"2","P","Scott Sharp","9","4:02.915","20:21.912","Green","Track","12.717","15.673","42.957","1.447","38.183","61.869","50.118","15.492","4.459","56.818"
"31","P","Eric Curran","9","4:02.098","20:22.346","Green","Track","12.862","15.127","42.899","1.482","38.319","61.699","49.789","15.392","4.529","55.476"
"90","P","Marc Goossens","9","4:01.602","20:22.964","Green","Track","13.201","15.759","41.635","1.444","39.495","60.669","49.313","15.564","4.522","56.936"
"85","P","Misha Goikhberg","9","4:00.882","20:23.356","Green","Track","12.801","15.741","41.552","1.468","39.598","60.753","49.101","15.377","4.491","56.005"
"5","P","Christian Fittipaldi","9","3:59.529","20:23.568","Green","Track","14.056","14.352","41.791","1.590","39.982","60.542","47.794","14.899","4.523","51.708"
"38","PC","James French","9","3:52.295","20:24.514","Green","Track","9.885","14.731","38.436","1.851","39.987","60.454","47.032","15.229","4.690","44.417"
"66","GTLM","Dirk Mueller","9","3:21.329","20:26.039","Green","Track","7.838","13.193","27.831","0.842","26.424","58.339","46.957","15.032","4.873","97.644"
"25","GTLM","Alexander Sims","9","3:20.116","20:26.334","Green","Track","7.609","13.165","27.888","0.836","26.004","58.629","46.359","14.792","4.834","98.344"
"912","GTLM","Gianmaria Bruni","9","3:20.210","20:26.994","Green","Track","7.880","13.068","29.826","0.652","25.290","57.887","46.341","14.373","4.893","126.098"
"911","GTLM","Patrick Pilet","9","3:19.676","20:27.469","Green","Track","7.871","12.682","31.672","0.747","25.082","57.261","45.075","14.404","4.882","110.061"
"67","GTLM","Ryan Briscoe","9","3:17.063","20:27.874","Green","Track","6.803","12.348","31.810","0.888","26.031","55.088","44.953","14.297","4.845","92.585"
