"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"15","GTD","Jack Hawksworth","29","2:11.585","1:12:23.002","Green","Track","1.451","21.291","25.611","9.718","9.855","0.452","4.608","0.421","23.802","25.651","8.725","148.456","159.388"
"911","GTLM","Dirk Werner","30","2:10.250","1:12:23.127","Green","Track","1.465","20.551","25.163","9.730","9.864","0.463","4.738","0.431","23.768","25.521","8.556","144.929","155.690"
"14","GTD","Sage Karam","29","2:14.725","1:12:23.846","Green","Track","1.475","22.443","25.731","10.275","9.922","0.453","4.653","0.421","24.498","26.099","8.755","148.129","159.388"
"20","PC","Buddy Rice","30","2:09.640","1:12:24.271","Green","Track","1.386","21.195","25.124","9.726","9.375","0.439","4.525","0.427","23.848","25.374","8.221","152.853","157.148"
"80","GTD","Mike Skeen","29","2:14.285","1:12:24.739","Green","Track","1.501","21.396","26.187","10.117","10.023","0.458","4.690","0.428","24.355","26.338","8.792","146.512","156.781"
"4","GTLM","Tommy Milner","11","2:08.317","1:12:26.270","Green","Track","1.435","20.309","24.530","9.499","9.699","0.450","4.584","0.425","23.209","25.670","8.507","149.116","157.888"
"75","GTD","Tristan Vautier","29","2:10.023","1:12:26.242","Green","Track","1.474","20.493","24.927","9.608","9.823","0.459","4.686","0.421","23.549","25.828","8.754","146.192","159.388"
"93","GTD","Andy Lally","29","2:12.266","1:12:26.434","Green","Track","1.478","21.273","25.243","9.553","9.906","0.462","4.690","0.427","23.903","26.565","8.767","145.243","157.148"
"54","GTD","Colin Braun","29","2:10.921","1:12:28.762","Green","Track","1.442","20.925","25.365","9.716","9.831","0.453","4.635","0.415","23.751","25.673","8.715","148.129","161.692"
"67","GTLM","Ryan Briscoe","22","2:07.117","1:12:30.754","Green","Track","1.453","20.285","24.480","9.385","9.763","0.455","4.662","0.426","22.881","24.819","8.510","147.478","157.517"
"991","GTD","Harry Gottsacker","29","2:12.994","1:12:37.333","Green","Track","1.490","21.287","26.123","9.767","10.061","0.467","4.809","0.432","23.820","25.986","8.753","143.688","155.329"
"25","GTLM","Bill Auberlen","30","2:26.324","1:12:40.398","Green","Pit","1.443","20.722","24.592","9.556","9.526","0.439","4.741","0.505","24.319","25.095","25.386","152.853","132.876"
"70","P","Tom Long","20","2:10.415","1:13:05.233","Green","Track","6.183","23.626","23.474","9.128","9.021","0.421","4.363","0.394","22.687","23.162","7.958","159.388","170.310"
"66","GTLM","Joey Hand","29","2:06.740","1:13:19.542","Green","Track","1.481","20.381","24.128","9.322","9.888","0.460","4.727","0.436","22.904","24.454","8.560","145.875","153.904"
"52","P","Jose Gutierrez","1","1:13:42.983","1:13:42.983","Green","Track","6.130","25.924","25.096","9.592","9.225","0.430","4.446","0.404","23.062","23.388","8.097","156.052","166.095"
"10","P","Ricky Taylor","31","1:57.684","1:13:56.107","Green","Track","1.358","18.891","22.134","8.920","9.081","0.425","4.390","0.409","21.746","22.418","7.912","157.888","164.064"
"5","P","Joao Barbosa","31","1:59.064","1:13:59.873","Green","Track","1.351","18.791","23.004","8.965","8.938","0.420","4.318","0.390","22.255","22.732","7.900","159.767","172.057"
"31","P","Dane Cameron","31","1:59.053","1:14:00.382","Green","Track","1.342","18.733","22.761","9.218","8.900","0.418","4.293","0.391","22.382","22.732","7.883","160.532","171.617"
"90","P","Marc Goossens","31","2:00.000","1:14:02.853","Green","Track","1.378","19.125","22.520","9.255","9.100","0.430","4.439","0.400","22.194","23.128","8.031","156.052","167.756"
"2","P","Scott Sharp","31","1:59.933","1:14:03.252","Green","Track","1.334","19.099","22.921","9.053","8.917","0.418","4.273","0.407","22.655","22.991","7.866","160.532","164.870"
"85","P","Stephen Simpson","31","1:59.908","1:14:03.846","Green","Track","1.329","19.145","22.795","9.141","8.819","0.411","4.220","0.383","22.609","23.234","7.822","163.266","175.202"
"38","PC","James French","31","2:05.368","1:14:15.612","Green","Track","1.406","20.027","23.783","9.654","9.330","0.439","4.520","0.408","23.057","24.650","8.094","152.853","164.466"
"55","P","Tristan Nunez","24","2:04.680","1:14:21.127","Green","Track","1.345","20.665","24.629","9.649","9.032","0.424","4.392","0.441","22.912","23.281","7.910","158.260","152.159"
"28","GTD","Daniel Morad","30","2:10.404","1:14:25.425","Green","Track","1.483","20.481","25.057","9.844","9.924","0.462","4.723","0.443","23.710","25.569","8.708","145.243","151.472"
"48","GTD","Bryan Sellers","30","2:10.329","1:14:25.918","Green","Track","1.474","20.759","25.029","9.629","9.872","0.455","4.652","0.420","23.856","25.491","8.692","147.478","159.767"
"33","GTD","Jeroen Bleekemolen","30","2:10.823","1:14:27.037","Green","Track","1.468","21.868","24.762","9.502","9.784","0.455","4.670","0.425","23.462","25.725","8.696","147.478","157.888"
"73","GTD","Joerg Bergmeister","30","2:11.072","1:14:27.083","Green","Track","1.471","20.757","25.299","9.731","9.797","0.453","4.645","0.422","23.713","26.150","8.634","148.129","159.010"
"26","PC","Nicholas Boulle","31","2:07.728","1:14:28.194","Green","Track","1.400","19.954","24.700","9.603","9.458","0.441","4.559","0.461","23.571","25.393","8.188","152.159","145.558"
"57","GTD","Lawson Aschenbach","30","2:10.969","1:14:28.616","Green","Track","1.500","21.046","25.325","9.564","10.025","0.462","4.731","0.431","23.478","25.527","8.880","145.243","155.690"
"63","GTD","Alessandro Balzan","30","2:12.276","1:14:29.130","Green","Track","1.468","21.430","25.316","9.553","9.787","0.456","4.654","0.417","23.928","26.654","8.614","147.154","160.917"
"3","GTLM","Antonio Garcia","31","2:09.015","1:14:30.181","Green","Track","1.460","20.835","25.648","9.509","9.763","0.451","4.623","0.424","22.776","24.960","8.567","148.786","158.260"
"24","GTLM","Martin Tomczyk","31","2:09.395","1:14:30.544","Green","Track","1.452","21.129","25.571","9.931","9.751","0.447","4.581","0.418","22.967","24.650","8.498","150.117","160.532"
"86","GTD","Oswaldo Negri Jr.","30","2:12.446","1:14:32.668","Green","Track","1.477","21.479","25.969","9.900","9.800","0.454","4.631","0.427","24.021","25.564","8.724","147.802","157.148"
"50","GTD","Gunnar Jeannette","30","2:12.381","1:14:33.362","Green","Track","1.477","21.775","25.421","9.874","9.826","0.458","4.656","0.417","24.045","25.797","8.639","146.512","160.917"
"96","GTD","Jens Klingmann","30","2:11.990","1:14:34.127","Green","Track","1.454","20.876","25.353","10.020","9.864","0.455","4.679","0.448","24.498","25.733","8.610","147.478","149.782"
"20","PC","Buddy Rice","31","2:10.319","1:14:34.590","Green","Track","1.394","20.848","24.927","10.055","9.393","0.438","4.518","0.430","24.716","25.385","8.215","153.202","156.052"
"15","GTD","Jack Hawksworth","30","2:12.242","1:14:35.244","Green","Track","1.454","21.130","25.230","9.655","9.711","0.449","4.574","0.437","24.756","26.239","8.606","149.448","153.552"
"4","GTLM","Tommy Milner","12","2:09.726","1:14:35.996","Green","Track","1.444","20.374","24.458","9.523","9.588","0.445","4.578","0.422","24.890","25.449","8.555","150.792","159.010"
"14","GTD","Sage Karam","30","2:12.481","1:14:36.327","Green","Track","1.471","20.824","25.187","9.818","0.000","0.000","4.598","0.434","25.043","26.194","8.673","0.000","154.614"
"80","GTD","Mike Skeen","30","2:12.218","1:14:36.957","Green","Track","1.482","20.691","25.152","9.741","9.837","0.454","4.672","0.413","24.973","26.052","8.751","147.802","162.475"
