"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"96","GTD","Bret Curtis","13","1:32.569","20:37.560","Green","Track","3.391","12.814","0.557","13.835","10.707","9.669","0.557","13.504","10.565","10.234","2.377","4.359","141.994","145.667"
"86","GTD","Oswaldo Negri Jr.","13","1:32.557","20:37.979","Green","Track","3.399","12.640","0.562","14.048","10.524","9.709","0.565","13.606","10.529","10.217","2.369","4.389","140.731","143.604"
"15","GTD","Robert Alon","13","1:32.797","20:38.951","Green","Track","3.301","12.677","0.557","13.823","10.526","9.643","0.557","13.641","10.535","10.789","2.380","4.368","141.994","145.667"
"54","GTD","Jonathan Bennett","13","1:34.086","20:51.157","Green","Track","3.536","12.897","0.567","14.146","10.699","9.667","0.565","13.847","10.762","10.578","2.408","4.414","139.490","143.604"
"38","PC","James French","14","1:29.277","20:56.289","Green","Track","3.206","11.920","0.553","13.736","10.347","9.045","0.540","13.408","10.144","9.972","2.234","4.172","143.022","150.253"
"20","PC","Don Yount","13","1:33.822","21:09.038","Green","Track","3.890","12.886","0.547","14.135","10.881","9.324","0.548","13.965","10.570","10.553","2.307","4.216","144.590","148.059"
"22","P","Ed Brown","14","1:31.088","21:29.351","Green","Track","3.239","12.044","0.520","13.389","10.561","8.881","0.551","14.321","10.964","10.358","2.226","4.034","152.098","147.253"
"75","GTD","Kenny Habul","12","1:33.057","21:34.152","Green","Track","3.465","12.684","0.574","14.052","10.557","9.866","0.576","13.713","10.411","10.346","2.382","4.431","137.789","140.862"
"57","GTD","Lawson Aschenbach","14","1:31.034","21:37.702","Green","Track","3.383","12.543","0.569","13.464","10.326","9.777","0.573","13.344","10.191","10.060","2.377","4.427","139.000","141.599"
"5","P","Christian Fittipaldi","15","1:25.187","21:43.180","Green","Track","3.315","11.286","0.514","12.881","9.852","8.874","0.520","12.665","9.711","9.442","2.137","3.990","153.873","156.031"
"31","P","Eric Curran","15","1:25.712","21:44.816","Green","Track","3.396","11.620","0.518","12.929","9.861","8.891","0.518","12.731","9.812","9.310","2.132","3.994","152.685","156.634"
"26","PC","Tomy Drissi","14","1:32.735","21:50.748","Green","Track","3.726","12.598","0.554","13.952","10.815","9.362","0.552","13.736","10.594","10.217","2.295","4.334","142.763","146.986"
