"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"31","P","Eric Curran","30","2:10.363","41:28.188","Green","Pit","1.590","0.459","3.769","24.556","18.378","14.061","10.179","57.371","144.583"
"911","GTLM","Patrick Pilet","29","1:27.088","41:29.119","Green","Track","1.707","0.494","3.916","26.712","20.028","14.659","8.718","10.854","134.339"
"15","GTD","Scott Pruett","28","1:29.640","41:29.635","Green","Track","1.749","0.504","4.008","27.000","20.598","15.335","9.155","11.291","131.674"
"52","P","Jose Gutierrez","30","1:23.414","41:31.066","Green","Track","1.651","0.471","3.941","26.090","18.506","14.157","8.108","10.490","140.899"
"50","GTD","Cooper MacNeil","28","1:29.914","41:37.145","Green","Track","1.728","0.499","3.988","27.321","20.710","15.159","9.025","11.484","132.993"
"93","GTD","Katherine Legge","28","1:29.932","41:37.423","Green","Track","1.731","0.499","4.138","27.408","20.484","15.188","8.817","11.667","132.993"
"25","GTLM","Alexander Sims","29","1:29.588","41:39.427","Green","Track","1.682","0.483","4.158","27.400","19.929","15.352","9.191","11.393","137.399"
"3","GTLM","Jan Magnussen","29","1:27.828","41:39.932","Green","Track","1.705","0.492","4.073","26.349","20.127","15.059","8.775","11.248","134.885"
"63","GTD","Christina Nielsen","28","1:31.344","41:39.935","Green","Track","1.736","0.501","4.130","27.083","20.872","15.760","9.675","11.587","132.462"
"33","GTD","Ben Keating","28","1:29.433","41:57.509","Green","Track","1.766","0.511","4.045","27.095","20.670","15.120","9.030","11.196","129.870"
"90","P","Marc Goossens","31","1:21.985","41:58.165","Green","Track","1.579","0.454","3.620","24.988","18.580","13.879","8.418","10.467","146.175"
"54","GTD","Jonathan Bennett","28","1:30.058","41:59.003","Green","Track","1.755","0.507","4.038","27.075","20.757","15.422","9.337","11.167","130.895"
"16","GTD","Jeroen Mul","28","1:27.337","42:03.195","Green","Track","1.769","0.510","4.146","26.514","19.945","14.543","8.890","11.020","130.125"
"80","GTD","Dan Knox","27","1:31.361","42:03.860","Green","Track","1.788","0.515","4.098","27.610","21.088","15.439","9.287","11.536","128.861"
"48","GTD","Madison Snow","28","1:27.065","42:07.217","Green","Track","1.778","0.511","3.996","26.321","20.067","14.651","8.657","11.084","129.870"
"57","GTD","Andrew Davis","28","1:26.786","42:15.430","Green","Track","1.759","0.509","3.997","26.150","20.060","14.699","8.638","10.974","130.380"
"66","GTLM","Dirk Mueller","29","2:07.761","42:17.206","Green","Pit","1.716","0.494","4.124","26.736","20.429","15.058","10.281","48.923","134.339"
"912","GTLM","Laurens Vanthoor","29","2:09.788","42:20.232","Green","Pit","1.700","0.490","4.087","27.041","20.241","15.073","10.547","50.609","135.436"
"24","GTLM","John Edwards","29","2:06.728","42:20.337","Green","Pit","1.689","0.486","3.970","26.361","19.653","14.457","10.383","49.729","136.551"
"67","GTLM","Ryan Briscoe","29","2:10.418","42:20.517","Green","Pit","1.693","0.487","4.118","27.399","20.541","15.230","10.463","50.487","136.270"
"10","P","Ricky Taylor","31","2:09.329","42:28.003","Green","Pit","1.585","0.460","3.692","24.498","18.174","13.812","10.465","56.643","144.269"
"2","P","Scott Sharp","31","1:21.918","42:33.689","Green","Track","1.571","0.456","3.749","24.802","18.245","14.132","8.374","10.589","145.534"
"4","GTLM","Oliver Gavin","29","1:35.170","42:34.286","Green","Track","2.008","0.000","0.000","27.374","20.674","15.154","9.120","11.346","0.000"
