"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"51","GTD","Pedro Lamy","5","1:48.016","10:38.101","Green","Track","11.658","24.195","20.629","7.807","6.342","5.842","9.966","7.017","6.124","5.064","0.456","2.916","179.426"
"32","P","Hugo de Sadeleer","6","1:39.198","10:39.286","Green","Track","10.610","21.958","19.373","7.074","5.843","5.359","9.113","6.367","5.703","4.682","0.421","2.695","194.342"
"82","GTD","Martin Fuentes","5","1:48.566","10:40.313","Green","Track","11.538","24.194","20.737","7.754","6.314","5.828","10.565","7.040","6.136","5.082","0.459","2.919","178.253"
"22","P","Johannes van Overbeek","6","1:39.243","10:41.859","Green","Track","11.033","22.108","19.311","6.947","5.810","5.358","9.002","6.288","5.603","4.662","0.421","2.700","194.342"
"5","P","Filipe Albuquerque","6","1:37.960","10:50.504","Green","Track","10.279","21.822","18.917","6.980","5.783","5.341","8.862","6.418","5.688","4.720","0.427","2.723","191.612"
"96","GTD","Don Yount","5","1:50.720","10:51.672","Green","Track","11.808","25.035","21.421","7.789","6.411","5.953","10.447","7.054","6.203","5.155","0.465","2.979","175.953"
"11","GTD","Mirko Bortolotti","5","1:49.950","10:51.829","Green","Track","11.724","25.060","20.949","7.856","6.375","5.853","10.394","7.083","6.192","5.097","0.457","2.910","179.033"
"19","GTD","Christian Engelhart","5","1:47.627","10:52.080","Green","Track","11.402","24.174","20.619","7.778","6.338","5.780","10.006","7.001","6.134","5.054","0.453","2.888","180.614"
"63","GTD","Jeff Segal","3","2:05.110","10:53.561","Green","Pit","12.037","26.477","20.899","7.830","6.389","5.839","10.297","7.092","6.218","8.350","0.000","0.000","0.000"
"3","GTLM","Mike Rockenfeller","4","1:44.479","10:53.826","Green","Track","10.879","23.315","19.565","7.608","6.332","5.825","9.387","6.914","6.148","5.106","0.461","2.939","177.480"
"99","P","Stephen Simpson","5","1:39.938","10:54.374","Green","Track","10.665","22.723","19.255","7.058","5.838","5.451","9.115","6.362","5.643","4.701","0.424","2.703","192.967"
